,PLS,Lasso,LightGBM,KNN,SCNN,DCNN
Abs2200,0.167,0.099,0.064,0.101,0.103,0.084
Moisture,6.889,4.733,3.456,4.529,5.780,5.720
Protein,4.011,3.163,2.674,3.649,3.830,3.133
Total Fat,2.898,2.291,2.67,3.031,3.767,3.466
Total Carb,5.58,6.756,4.559,5.737,4.930,4.353
Total Sugar,5.341,5.732,3.422,3.729,4.242,3.651
Ash,0.921,1.001,1.037,0.824,1.277,0.790
Saturated Fat,2.503,1.81,1.951,2.285,3.838,3.477
Fibre,1.463,1.736,1.504,1.428,2.538,1.411
Sodium,288.879,267.683,255.703,262.597,217.839,217.925
Energy,284.511,187.986,169.904,180.819,520.847,465.930
Polyunsaturated,3.664,8.924,2.052,3.024,2.451,1.405
Monounsaturated,2.885,7.666,3.995,3.815,2.857,3.816
DietaryFibre,3.672,4.549,4.426,4.45,2.958,2.137
Abs2200,0.154,0.107,0.054,0.081,0.061,0.073
Moisture,6.94,5.149,3.142,3.951,3.231,3.597
Protein,4.387,11.526,2.49,3.595,3.218,3.524
Total Fat,2.599,2.118,1.732,2.439,1.846,2.064
Total Carb,5.394,4.263,3.562,5.281,3.074,4.350
Total Sugar,4.287,4.504,3.635,4.295,2.523,4.058
Ash,1.284,1.768,1.067,1.125,2.814,3.190
Saturated Fat,1.799,1.294,1.532,2.089,1.644,2.073
Fibre,1.296,1.339,1.231,1.164,1.052,0.884
Sodium,210.638,392.297,200.614,198.327,112.100,113.346
Energy,293.938,192.591,170.429,185.591,226.921,136.538
Polyunsaturated,2.016,1.55,1.201,1.145,1.464,1.722
Monounsaturated,2.964,2.311,1.955,2.961,2.787,2.777
DietaryFibre,4.358,4.961,3.938,4.449,2.041,1.733
Abs2200,0.162,0.131,0.114,0.105,0.081,0.113
Moisture,6.954,4.997,3.324,4.792,3.425,2.990
Protein,3.965,3.882,3.314,4.524,6.994,6.353
Total Fat,3.118,2.994,2.376,2.958,1.539,2.353
Total Carb,4.859,4.993,3.977,5.349,15.587,15.620
Total Sugar,5.171,5.309,4.184,4.373,4.274,4.722
Ash,0.956,1.047,0.973,0.864,3.333,3.052
Saturated Fat,2.668,2.295,2.082,2.373,1.416,1.924
Fibre,1.464,2.049,1.408,1.362,1.438,1.055
Sodium,241.718,433.458,203.7,201.247,105.186,114.267
Energy,210.879,236.853,115.261,153.946,143.720,155.388
Polyunsaturated,2.614,1.994,2.177,2.735,0.883,1.253
Monounsaturated,3.102,2.764,2.428,3.17,1.254,1.262
DietaryFibre,2.575,3.406,2.654,2.543,1.747,1.270
Abs2200,0.155,0.083,0.054,0.073,0.049,0.060
Moisture,7.565,3.156,2.616,4.509,3.901,4.566
Protein,3.345,2.233,2.258,3.147,10.076,11.340
Total Fat,2.32,1.795,1.601,3.073,2.586,3.502
Total Carb,4.55,3.898,3.606,4.81,5.374,4.895
Total Sugar,4.47,5.097,3.258,3.463,4.273,4.789
Ash,1.011,1.029,0.864,0.916,1.361,1.088
Saturated Fat,2.091,1.849,1.556,2.077,1.293,1.955
Fibre,1.518,1.559,1.613,2.27,1.535,1.578
Sodium,184.75,182.204,147.336,158.849,250.949,289.608
Energy,317.765,126.543,132.764,157.832,495.266,536.776
Polyunsaturated,2.718,10.579,1.899,1.683,1.112,1.663
Monounsaturated,2.901,9.488,3.98,4.006,3.132,3.354
DietaryFibre,2.195,2.636,2.157,1.826,1.453,1.493
Abs2200,0.152,0.082,0.053,0.087,0.070,0.069
Moisture,6.693,3.798,3.322,4.388,4.701,3.483
Protein,3.079,2.362,2.048,2.995,5.503,6.291
Total Fat,2.358,2.322,1.837,2.336,2.411,2.025
Total Carb,4.216,6.751,3.418,4.756,6.745,6.028
Total Sugar,4.689,6.308,3.628,4.551,3.589,4.259
Ash,0.792,1.093,0.772,0.83,0.856,0.976
Saturated Fat,1.817,1.419,1.443,2.042,3.482,3.277
Fibre,1.415,1.863,1.514,1.166,1.482,1.101
Sodium,233.806,310.699,241.791,260.734,207.482,191.735
Energy,286.523,201.826,81.822,131.91,338.806,258.691
Polyunsaturated,2.037,1.655,1.861,2.065,1.430,1.175
Monounsaturated,2.463,2.561,1.775,2.929,2.751,2.166
DietaryFibre,3.505,5.183,2.477,3.076,1.637,1.432
Abs2200,0.162,0.078,0.06,0.079,0.051,0.089
Moisture,6.551,3.899,3.225,4.716,3.495,4.656
Protein,3.274,2.532,2.461,3.422,5.683,6.957
Total Fat,2.404,2.258,1.875,2.398,2.028,2.383
Total Carb,4.231,3.685,3.744,5.57,6.685,7.201
Total Sugar,4.263,4.112,3.399,4.41,2.907,3.921
Ash,0.793,1.051,0.815,0.734,0.897,0.986
Saturated Fat,1.671,2.247,1.908,2.345,2.091,2.337
Fibre,1.307,1.337,1.325,1.12,1.146,1.196
Sodium,169.5,183.981,147.289,173.056,142.060,211.300
Energy,345.401,151.881,100.698,151.432,207.038,256.278
Polyunsaturated,1.97,1.665,1.871,2.121,1.867,2.076
Monounsaturated,2.706,2.148,1.705,2.045,1.692,2.390
DietaryFibre,1.664,2.177,1.635,1.836,1.123,1.211
Abs2200,0.142,0.101,0.049,0.081,0.078,0.062
Moisture,6.818,6.292,4.795,4.854,4.544,3.090
Protein,4.052,13.154,3.044,4.205,7.066,6.913
Total Fat,2.857,5.929,3.078,3.311,3.059,2.822
Total Carb,6.127,5.826,5.065,5.632,15.516,13.501
Total Sugar,5.547,14.123,4.291,4.946,3.107,3.096
Ash,2.042,2.202,1.653,1.832,4.102,4.319
Saturated Fat,2.872,3.758,1.989,2.188,2.049,2.009
Fibre,1.315,1.822,1.223,1.284,1.258,1.069
Sodium,206.021,476.595,177.876,182.573,101.345,100.788
Energy,270.441,283.294,158.327,149.122,100.185,197.690
Polyunsaturated,2.507,2.965,2.286,2.768,1.344,1.394
Monounsaturated,3.227,2.688,2.364,2.76,2.484,2.191
DietaryFibre,1.96,12.099,3.086,1.319,1.240,1.372
Abs2200,0.166,0.112,0.051,0.074,0.064,0.090
Moisture,6.742,4.128,3.71,4.416,3.679,3.371
