Unnamed: 0,PLS,Lasso,LightGBM,KNN,SCNN,DCNN
Abs2200,0.1582,0.099,0.0648,0.0848,0.0853,0.0781
Ash,1.0336,1.2452,0.9936,0.9349000000000001,1.6907,1.7870000000000001
DietaryFibre,2.7481,4.500100000000001,2.6687000000000003,2.5667,1.2631000000000001,1.4979
Energy,275.46500000000003,202.8136,133.0,148.2899,232.8544,241.9703
Fibre,1.4426999999999999,1.6961,1.4064,1.3708,1.1219000000000001,1.1817
Moisture,6.795699999999999,4.4224,3.5979,4.479699999999999,4.4257,3.6363
Monounsaturated,2.7788,3.6744,2.4232,2.8464,2.0656,2.3982
Polyunsaturated,2.2806,3.6081000000000003,2.0387,2.3298,1.2231,1.3567
Protein,3.6813000000000002,4.8001,2.6208,3.5991,6.115,5.8802
Saturated Fat,2.137,2.1452999999999998,1.7654,2.1429,2.0364,2.3264
Sodium,211.4689,296.3462,183.7005,192.0602,192.40879999999999,189.155
Total Carb,4.9448,5.298,3.931,5.230700000000001,7.869199999999999,8.0405
Total Fat,2.6032,3.0735,2.0414000000000003,2.6794000000000002,2.4013999999999998,2.3207999999999998
Total Sugar,4.827299999999999,6.976999999999999,3.8793999999999995,4.2903,3.693,4.0854
