Unnamed: 0,PLS,Lasso,LightGBM,KNN,SCNN,DCNN
Abs2200,0.1582,0.099,0.0626,0.0848,0.06870000000000001,0.0796
Ash,1.0336,1.2452,0.9946999999999999,0.9349000000000001,1.7751000000000001,1.7414999999999998
DietaryFibre,2.7481,4.500100000000001,2.7179,2.5667,1.7004000000000001,1.4858
Energy,275.46500000000003,202.8136,130.4898,148.2899,247.87089999999998,243.8835
Fibre,1.4426999999999999,1.6961,1.3839000000000001,1.3708,1.45,1.1921
Moisture,6.795699999999999,4.4224,3.563,4.479699999999999,3.9698,3.8629999999999995
Monounsaturated,2.7788,3.6744,2.4600999999999997,2.8464,2.1911,2.226
Polyunsaturated,2.2806,3.6081000000000003,1.9705,2.3298,1.5064,1.4848000000000001
Protein,3.6813000000000002,4.8001,2.6063,3.5991,5.8296,5.9791
Saturated Fat,2.137,2.1452999999999998,1.7815,2.1429,2.1671,2.3588
Sodium,211.4689,296.3462,186.4077,192.0602,180.3145,193.2694
Total Carb,4.9448,5.298,4.0545,5.230700000000001,8.3854,7.6703
Total Fat,2.6032,3.0735,2.0452,2.6794000000000002,2.3296,2.3553
Total Sugar,4.827299999999999,6.976999999999999,3.7512,4.2903,3.5650999999999997,4.0316
