,PLS,Lasso,LightGBM,KNN,SCNN,DCNN
Abs2200,0.167,0.099,0.07,0.101,0.101,0.104
Moisture,6.889,4.733,3.356,4.529,6.488,6.482
Protein,4.011,3.163,2.668,3.649,3.674,2.837
Total Fat,2.898,2.291,2.6,3.031,2.993,3.264
Total Carb,5.58,6.756,4.467,5.737,4.425,5.091
Total Sugar,5.341,5.732,3.368,3.729,3.386,4.394
Ash,0.921,1.001,0.981,0.824,0.826,1.050
Saturated Fat,2.503,1.81,1.945,2.285,2.796,3.141
Fibre,1.463,1.736,1.441,1.428,1.818,1.610
Sodium,288.879,267.683,249.197,262.597,195.134,188.142
Energy,284.511,187.986,170.626,180.819,437.673,544.722
Polyunsaturated,3.664,8.924,1.877,3.024,1.103,1.037
Monounsaturated,2.885,7.666,3.105,3.815,2.843,3.392
DietaryFibre,3.672,4.549,4.346,4.45,1.876,1.795
Abs2200,0.154,0.107,0.057,0.081,0.062,0.067
Moisture,6.94,5.149,3.231,3.951,3.045,2.432
Protein,4.387,11.526,2.487,3.595,2.819,3.329
Total Fat,2.599,2.118,1.788,2.439,2.099,1.616
Total Carb,5.394,4.263,3.736,5.281,3.324,3.213
Total Sugar,4.287,4.504,3.837,4.295,3.096,3.206
Ash,1.284,1.768,1.086,1.125,3.239,2.936
Saturated Fat,1.799,1.294,1.573,2.089,1.604,1.809
Fibre,1.296,1.339,1.204,1.164,0.875,1.103
Sodium,210.638,392.297,190.467,198.327,102.098,105.029
Energy,293.938,192.591,173.893,185.591,143.180,113.062
Polyunsaturated,2.016,1.55,1.452,1.145,1.142,1.707
Monounsaturated,2.964,2.311,1.795,2.961,2.479,2.877
DietaryFibre,4.358,4.961,4.038,4.449,1.604,1.755
Abs2200,0.162,0.131,0.114,0.105,0.135,0.134
Moisture,6.954,4.997,3.389,4.792,3.758,2.731
Protein,3.965,3.882,3.375,4.524,6.528,7.720
Total Fat,3.118,2.994,2.425,2.958,2.427,2.164
Total Carb,4.859,4.993,3.974,5.349,15.273,17.625
Total Sugar,5.171,5.309,4.508,4.373,4.648,5.496
Ash,0.956,1.047,1.004,0.864,2.927,2.900
Saturated Fat,2.668,2.295,1.918,2.373,1.849,1.735
Fibre,1.464,2.049,1.405,1.362,0.988,1.480
Sodium,241.718,433.458,201.632,201.247,126.885,113.943
Energy,210.879,236.853,122.555,153.946,187.062,159.641
Polyunsaturated,2.614,1.994,2.285,2.735,1.207,1.134
Monounsaturated,3.102,2.764,2.002,3.17,1.910,1.947
DietaryFibre,2.575,3.406,2.708,2.543,1.015,1.080
Abs2200,0.155,0.083,0.056,0.073,0.073,0.064
Moisture,7.565,3.156,2.693,4.509,6.124,4.198
Protein,3.345,2.233,2.179,3.147,10.576,8.707
Total Fat,2.32,1.795,1.481,3.073,3.431,3.336
Total Carb,4.55,3.898,3.499,4.81,6.067,4.465
Total Sugar,4.47,5.097,3.321,3.463,5.254,6.242
Ash,1.011,1.029,0.915,0.916,1.048,1.360
Saturated Fat,2.091,1.849,1.556,2.077,1.757,1.786
Fibre,1.518,1.559,1.795,2.27,1.433,1.220
Sodium,184.75,182.204,144.098,158.849,296.332,286.490
Energy,317.765,126.543,123.096,157.832,552.574,514.003
Polyunsaturated,2.718,10.579,1.723,1.683,1.281,1.356
Monounsaturated,2.901,9.488,3.953,4.006,3.875,4.399
DietaryFibre,2.195,2.636,1.76,1.826,1.347,1.503
Abs2200,0.152,0.082,0.053,0.087,0.074,0.096
Moisture,6.693,3.798,2.99,4.388,3.912,2.978
Protein,3.079,2.362,2.066,2.995,6.446,7.067
Total Fat,2.358,2.322,1.876,2.336,1.656,2.181
Total Carb,4.216,6.751,3.182,4.756,6.517,4.604
Total Sugar,4.689,6.308,3.614,4.551,3.796,3.604
Ash,0.792,1.093,0.793,0.83,0.694,1.177
Saturated Fat,1.817,1.419,1.372,2.042,3.238,4.097
Fibre,1.415,1.863,1.529,1.166,1.024,1.142
Sodium,233.806,310.699,233.011,260.734,185.507,211.009
Energy,286.523,201.826,80.782,131.91,250.389,270.283
Polyunsaturated,2.037,1.655,1.565,2.065,0.984,1.153
Monounsaturated,2.463,2.561,2.312,2.929,1.966,2.088
DietaryFibre,3.505,5.183,2.474,3.076,1.140,1.915
Abs2200,0.162,0.078,0.06,0.079,0.074,0.056
Moisture,6.551,3.899,3.482,4.716,3.530,3.526
Protein,3.274,2.532,2.508,3.422,7.069,6.410
Total Fat,2.404,2.258,1.873,2.398,1.644,2.020
Total Carb,4.231,3.685,3.803,5.57,5.292,4.371
Total Sugar,4.263,4.112,3.322,4.41,2.859,3.379
Ash,0.793,1.051,0.84,0.734,0.703,1.022
Saturated Fat,1.671,2.247,1.839,2.345,1.534,2.301
Fibre,1.307,1.337,1.339,1.12,1.048,1.044
Sodium,169.5,183.981,161.115,173.056,188.295,182.390
Energy,345.401,151.881,130.968,151.432,208.793,247.238
Polyunsaturated,1.97,1.665,1.995,2.121,1.479,1.909
Monounsaturated,2.706,2.148,1.989,2.045,1.390,1.480
DietaryFibre,1.664,2.177,1.78,1.836,1.047,1.598
Abs2200,0.142,0.101,0.051,0.081,0.079,0.061
Moisture,6.818,6.292,4.951,4.854,4.334,2.963
Protein,4.052,13.154,3.058,4.205,7.655,6.704
Total Fat,2.857,5.929,3.134,3.311,2.709,2.721
Total Carb,6.127,5.826,4.878,5.632,15.001,15.019
Total Sugar,5.547,14.123,4.646,4.946,2.799,2.928
Ash,2.042,2.202,1.668,1.832,4.441,4.096
Saturated Fat,2.872,3.758,1.903,2.188,1.558,1.884
Fibre,1.315,1.822,1.274,1.284,0.884,1.199
Sodium,206.021,476.595,186.376,182.573,113.611,108.501
Energy,270.441,283.294,152.942,149.122,130.138,134.350
Polyunsaturated,2.507,2.965,3.456,2.768,0.945,1.570
Monounsaturated,3.227,2.688,2.414,2.76,1.409,2.129
DietaryFibre,1.96,12.099,3.032,1.319,0.905,1.234
Abs2200,0.166,0.112,0.048,0.074,0.092,0.074
Moisture,6.742,4.128,3.709,4.416,5.600,4.304
Protein,3.734,3.55,3.074,3.746,6.742,7.526
Total Fat,2.207,6.433,1.492,2.181,2.483,1.645
Total Carb,4.631,4.539,3.832,5.184,15.576,16.991
Total Sugar,5.074,9.451,3.831,3.648,4.017,3.649
Ash,0.857,1.319,1.059,0.751,1.002,0.828
Saturated Fat,2.339,3.618,1.589,2.031,2.331,2.521
Fibre,1.442,1.732,1.097,1.045,1.124,1.156
Sodium,183.872,262.554,165.552,172.281,187.096,187.125
Energy,217.907,321.12,114.895,122.135,199.725,163.041
Polyunsaturated,1.446,1.62,1.447,1.072,2.067,1.843
Monounsaturated,2.052,1.914,1.362,1.708,1.391,1.439
DietaryFibre,1.395,1.553,1.323,0.922,1.669,1.714
Abs2200,0.168,0.091,0.053,0.078,0.080,0.057
Moisture,6.508,4.342,3.825,3.881,4.284,2.843
Protein,3.437,2.606,2.247,3.303,5.537,4.979
Total Fat,2.681,2.296,1.812,2.667,2.336,1.811
Total Carb,4.878,7.407,3.879,4.554,3.387,4.868
Total Sugar,5.607,10.385,4.477,5.081,3.606,3.350
Ash,0.856,0.828,0.798,0.645,1.127,1.464
Saturated Fat,1.956,1.685,2.034,2.138,1.957,1.715
Fibre,1.449,1.351,1.358,1.278,0.998,0.941
Sodium,202.05,261.199,151.745,161.699,248.924,226.857
Energy,265.975,196.124,124.282,136.95,124.303,131.369
Polyunsaturated,2.381,2.561,2.773,4.072,1.101,0.976
Monounsaturated,2.626,2.281,2.701,2.454,1.777,2.289
DietaryFibre,3.803,5.814,2.703,3.148,1.153,1.049
Abs2200,0.154,0.106,0.086,0.089,0.083,0.068
Moisture,6.297,3.73,4.353,4.761,3.182,3.906
Protein,3.529,2.993,2.546,3.405,4.104,3.523
Total Fat,2.59,2.299,1.933,2.4,2.236,2.450
Total Carb,4.982,4.862,4.06,5.434,3.830,4.158
Total Sugar,3.824,4.749,3.87,4.407,3.469,4.606
Ash,0.824,1.114,0.792,0.828,0.900,1.037
Saturated Fat,1.654,1.478,1.925,1.861,1.740,2.275
Fibre,1.758,2.173,1.622,1.591,1.027,0.922
Sodium,193.455,192.792,153.812,149.239,280.206,282.064
Energy,261.31,129.918,135.961,113.162,94.707,141.994
Polyunsaturated,1.453,2.568,1.814,2.613,0.922,0.882
Monounsaturated,2.862,2.923,2.599,2.616,1.616,1.942
DietaryFibre,2.354,2.623,2.523,2.098,0.875,1.336
