,PLS,Lasso,LightGBM,KNN,SCNN,DCNN
Abs2200,0.167,0.099,0.064,0.101,0.123,0.097
Moisture,6.889,4.733,3.337,4.529,7.428,5.593
Protein,4.011,3.163,2.789,3.649,4.101,4.059
Total Fat,2.898,2.291,2.505,3.031,3.639,3.600
Total Carb,5.58,6.756,4.695,5.737,5.720,5.726
Total Sugar,5.341,5.732,3.552,3.729,4.049,4.589
Ash,0.921,1.001,1.024,0.824,0.717,1.003
Saturated Fat,2.503,1.81,1.968,2.285,3.056,3.678
Fibre,1.463,1.736,1.484,1.428,1.696,1.517
Sodium,288.879,267.683,246.19,262.597,200.119,211.978
Energy,284.511,187.986,177.852,180.819,462.709,507.618
Polyunsaturated,3.664,8.924,2.205,3.024,1.776,1.518
Monounsaturated,2.885,7.666,3.829,3.815,3.248,4.125
DietaryFibre,3.672,4.549,4.524,4.45,1.484,1.814
Abs2200,0.154,0.107,0.053,0.081,0.075,0.071
Moisture,6.94,5.149,3.177,3.951,3.363,3.255
Protein,4.387,11.526,2.475,3.595,2.604,3.121
Total Fat,2.599,2.118,1.747,2.439,1.938,1.683
Total Carb,5.394,4.263,3.566,5.281,3.682,3.975
Total Sugar,4.287,4.504,3.673,4.295,2.875,3.602
Ash,1.284,1.768,1.062,1.125,3.369,3.396
Saturated Fat,1.799,1.294,1.513,2.089,1.525,1.927
Fibre,1.296,1.339,1.312,1.164,0.883,0.869
Sodium,210.638,392.297,188.334,198.327,114.827,114.279
Energy,293.938,192.591,156.923,185.591,130.289,150.304
Polyunsaturated,2.016,1.55,1.327,1.145,1.235,1.418
Monounsaturated,2.964,2.311,1.663,2.961,2.566,2.343
DietaryFibre,4.358,4.961,4.168,4.449,1.735,1.635
Abs2200,0.162,0.131,0.112,0.105,0.147,0.104
Moisture,6.954,4.997,3.423,4.792,5.015,2.926
Protein,3.965,3.882,3.486,4.524,6.409,7.303
Total Fat,3.118,2.994,2.383,2.958,2.610,2.849
Total Carb,4.859,4.993,4.122,5.349,16.032,16.435
