Activation_function,Batch_size,Hidden_layer_size,Abs2200,Moisture,Protein,Total_fat,Total_carb,Total_sugar,Ash,Saturated_fat,Fibre,Sodium,Energy,Polyunsaturated,Monounsaturated,Dietaryfibre
Sigmoid,128,42,0.106,3.921,4.240,2.851,5.979,4.825,0.785,2.198,1.283,163.047,121.218,1.290,1.817,1.262
Sigmoid,128,70,0.102,3.970,4.097,2.735,5.751,4.583,0.801,2.211,1.269,162.692,126.917,1.297,1.898,1.244
Sigmoid,128,140,0.097,3.945,4.079,2.566,5.895,4.732,0.801,2.192,1.271,161.242,121.209,1.411,1.796,1.327
Sigmoid,128,280,0.095,4.025,3.817,2.878,5.523,4.609,0.784,2.311,1.341,162.324,129.286,1.338,2.425,1.353
Sigmoid,128,560,0.102,4.077,4.058,3.138,5.767,4.605,0.810,2.723,1.332,162.938,119.881,1.686,1.835,1.988
Sigmoid,128,1120,0.108,3.861,4.937,2.700,6.897,4.451,0.991,2.703,1.402,156.761,113.979,1.293,1.806,1.620
Sigmoid,128,2240,0.101,4.494,4.298,3.560,6.460,4.323,0.835,2.516,1.772,200.615,300.551,3.017,3.005,2.305
ReLU,128,42,0.088,2.993,2.993,2.313,4.224,3.704,0.747,1.706,1.219,153.887,79.013,1.062,1.574,1.112
ReLU,128,70,0.070,3.210,2.978,2.560,4.705,3.105,0.739,2.041,1.278,148.692,77.709,1.234,1.612,1.134
ReLU,128,140,0.065,3.282,2.117,2.230,3.512,2.876,0.648,1.299,1.242,147.196,107.329,0.822,1.696,0.959
ReLU,128,280,0.079,2.747,1.916,1.814,3.496,2.770,0.624,1.436,1.206,142.881,96.285,0.877,1.452,1.045
ReLU,128,560,0.059,3.307,2.325,2.275,3.972,2.938,0.681,1.820,1.206,152.944,94.173,1.061,1.661,1.316
ReLU,128,1120,0.087,3.041,1.875,1.854,3.710,3.232,0.617,1.642,1.232,156.482,90.546,0.908,1.395,1.280
ReLU,128,2240,0.074,2.886,1.720,1.990,4.171,3.121,0.650,1.743,1.282,146.725,91.590,0.917,1.681,1.155
ReLU,128,2240,0.224,3.731,7.699,1.941,14.752,6.111,0.963,1.625,2.445,158.765,138.174,2.212,4.518,1.769
ReLU,128,10,0.189,9.416,6.335,5.688,17.167,5.566,0.835,2.535,1.328,179.048,230.758,1.557,2.074,1.252
ReLU,512,3,0.883,50.562,6.873,7.495,20.039,5.472,0.918,3.819,1.418,200.811,361.121,1.613,3.608,1.411
ReLU,512,5,1.062,52.402,7.463,8.630,13.069,5.039,0.916,3.874,1.370,182.912,258.412,1.807,4.051,1.391
ReLU,512,100,0.202,47.611,4.557,2.889,11.410,4.022,0.879,2.451,1.568,157.744,383.426,2.371,2.409,1.372
ReLU,512,10,0.736,48.612,6.317,4.755,16.246,4.683,0.845,3.273,1.455,179.585,321.793,1.593,3.071,1.387
ReLU,512,10,0.703,26.293,7.234,6.110,21.133,5.891,0.900,3.712,1.424,174.700,333.575,1.493,2.319,1.322
ReLU,512,10,0.280,20.656,7.390,6.241,16.232,5.574,0.856,2.879,1.347,179.494,255.168,1.659,3.883,1.396
ReLU,512,10,1.171,12.546,4.017,10.278,5.744,14.734,0.807,2.535,1.819,176.223,582.498,1.972,3.433,7.212
ReLU,512,128,0.324,38.494,4.540,6.985,14.463,4.961,1.453,2.563,3.681,169.251,598.068,3.555,5.704,1.772
ReLU,512,128,0.080,19.724,12.616,13.482,13.639,7.799,1.759,nan,nan,331.653,1120.202,nan,nan,nan
ReLU,128,2240,0.061,2.926,2.033,1.786,3.576,3.002,0.645,1.729,1.303,144.592,79.190,0.844,1.399,1.285
ReLU,128,140,0.065,2.973,2.243,2.162,3.479,2.869,0.688,1.485,1.214,145.248,78.253,0.887,1.553,1.035
ReLU,128,140,0.088,3.483,2.401,2.553,3.363,2.664,0.649,1.380,1.037,123.777,88.693,0.676,1.282,0.958
ReLU,128,140,0.088,3.483,2.401,2.553,3.363,2.664,0.649,1.380,1.037,123.777,88.693,0.676,1.282,0.958
ReLU,128,140,0.088,3.483,2.401,2.553,3.363,2.664,0.649,1.380,1.037,123.777,88.693,0.676,1.282,0.958
